amenities,descripcion,nombre,precio
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Bicycle rental,Bicycles available,Babysitting,Children Activities (Kid / Family Friendly),Wifi,Bar / lounge,Restaurant,Special diet menus,Hiking,Horseback riding,Bicycle tours,Evening entertainment,Airport transportation,Shuttle bus service,Business Center with Internet Access,Meeting rooms,Spa,Concierge,Non-smoking hotel,Outdoor furniture,Private check-in / check-out,Laundry service,Air conditioning,Housekeeping,Room service,Minibar,Non-smoking rooms,Suites,Family rooms",,Hacienda La Danesa,
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Airport transportation,Business Center with Internet Access,Parking,Restaurant,Breakfast available,Breakfast in the room,Kids' meals,Wine / champagne,Highchairs available,Taxi service,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Minibar,Cable / satellite TV,Bath / shower,Room service,Safe,Seating area,Separate dining area,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,Radio,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",,Wyndham Garden Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Airport transportation,Shuttle bus service,Conference facilities,Banquet room,Meeting rooms,Spa,Hammam,Massage,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Room service,Safe,Bottled water,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","See why so many travelers make Sonesta Hotel Guayaquil their hotel of choice when visiting Guayaquil. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you.,Given the close proximity of popular landmarks, such as El Castillo Chocolate Farm (2.0 mi) and El Faro de Guayaquil (2.0 mi), guests of Sonesta Hotel Guayaquil can easily experience some of Guayaquil's most well known attractions.,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and a concierge while staying at Sonesta Hotel Guayaquil. In addition, Sonesta Hotel Guayaquil offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,If you are looking for a good Asian restaurant, you may want to check out Gran Chef, Restaurante Sushi Isao, or Noe Sushi Bar while staying at Sonesta Hotel Guayaquil.,During your visit, be sure to check out Monumento a Guayas y Quil (0.7 mi), which is a popular attraction within walking distance of the hotel.,At Sonesta Hotel Guayaquil, your comfort and satisfaction come first, and they look forward to welcoming you to Guayaquil.",Sonesta Hotel Guayaquil,"MX2,728,MX1,867,MX2,728"
"Secured parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Squash,Billiards,Kids pool,Wifi,Outdoor pool,Bar / lounge,Restaurant,Breakfast available,Kids' meals,Wine / champagne,Patio,Table tennis,Highchairs available,Free airport transportation,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Facial treatments,Solarium,Rooftop terrace,24-hour security,Baggage storage,Concierge,Non-smoking hotel,Sun deck,Sun terrace,Doorperson,First aid kit,24-hour front desk,Express check-in / check-out,Blackout curtains,Soundproof rooms,Air conditioning,Desk,Housekeeping,Refrigerator,Cable / satellite TV,Bath / shower,Interconnected rooms available,Room service,Safe,Separate living room,Sofa,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Wake-up service / alarm clock,Flatscreen TV,Radio,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms",,Grand Hotel Guayaquil,"MX1,318,MX1,316"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Paid private parking on-site,Parking garage,Wifi,Pool / beach towels,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Kids' meals,Snack bar,Special diet menus,Poolside bar,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Banquet room,Meeting rooms,Baggage storage,Concierge,Gift shop,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Room service,Minibar,Refrigerator,Flatscreen TV,Hair dryer,Safe,Iron,Non-smoking rooms,Suites",,Holiday Inn Guayaquil Airport,"MX1,278,MX1,278,MX1,279,MX1,237"
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Baggage storage,Parking garage,Wifi,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Bottled water,Non-smoking rooms,Suites,Family rooms",,Hotel Palace Guayaquil,"MX1,306,MX2,015,MX1,144,MX1,842"
"Paid private parking nearby,Free High Speed Internet (WiFi),Outdoor pool,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Baggage storage,Non-smoking hotel,Street parking,Wifi,Outdoor furniture,Shared lounge / TV area,24-hour front desk,Air conditioning,Safe,Non-smoking rooms,Family rooms",,DreamKapture Hostel,"MX506,MX405,MX506,MX404"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","If you’re looking for a family-friendly hotel in Guayaquil, look no further than Sheraton Guayaquil Hotel.,For those interested in checking out popular landmarks while visiting Guayaquil, Sheraton Guayaquil is located a short distance from El Castillo Chocolate Farm (1.9 mi) and El Faro de Guayaquil (2.0 mi).,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and newspaper while staying at Guayaquil Four Points. In addition, Guayaquil Sheraton offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,While in Guayaquil be sure to experience nearby diners such as Ville Crepes, Rock Sport Café, or Pollos De Boncho.,Guayaquil is also home to Museo en Miniatura Guayaquil en la Historia, a popular military museum that is not too far from Four Points Guayaquil.,The staff at Sheraton Guayaquil Hotel looks forward to serving you during your upcoming visit.",Sheraton Guayaquil Hotel,"MX1,631,MX1,631,MX1,632,MX1,595"
"Free public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Game room,Table tennis,Indoor play area for children,Airport transportation,Street parking,Wifi,Breakfast available,Board games / puzzles,Shuttle bus service,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shared kitchen,24-hour front desk,Laundry service,Air conditioning,Housekeeping,Non-smoking rooms",,Nazu City Hostel,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Vending machine,Meeting rooms,Concierge,Non-smoking hotel,Self-serve laundry,Parking garage,Wifi,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites,Family rooms",,Apart Terrazas Guayaquil Suites & Lofts,"MX1,384,MX1,435,MX1,521,MX1,187"
"Paid private parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Solarium,Secured parking,Wifi,Hot tub,Indoor pool,Sauna,Restaurant,Breakfast buffet,Vending machine,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Ramada,"MX1,447,MX952,MX1,447,MX866"
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Airport transportation,Spa,Baggage storage,Chapel / shrine,Secured parking,Wifi,Outdoor pool,Pool / beach towels,Breakfast in the room,Special diet menus,Wine / champagne,Shuttle bus service,Car hire,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Outdoor furniture,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Room service,Safe,Bottled water,Iron,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Boutique Orilla del Rio,
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms",,Manso Boutique Guesthouse,
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Board games / puzzles,Children Activities (Kid / Family Friendly),Kids' outdoor play equipment,Airport transportation,Parking garage,Wifi,Bar / lounge,Coffee shop,Concierge,Gift shop,Non-smoking hotel,Outdoor furniture,Picnic area,Shared kitchen,Shared lounge / TV area,Private check-in / check-out,Laundry service,Air conditioning,Safe,Clothes rack,Wake-up service / alarm clock,Flatscreen TV,Bath / shower,Complimentary toiletries,Non-smoking rooms,Suites,Family rooms",,Hotel Boutique El Escalon,
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Business Center with Internet Access,Conference facilities,Baggage storage,Newspaper,Parking garage,Wifi,Coffee shop,Restaurant,Breakfast buffet,Kids' meals,Snack bar,Special diet menus,Banquet room,Meeting rooms,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Bath / shower,Safe,Telephone,Bottled water,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites",,Galeria Man-Ging,
"Parking garage,Free internet,Bar / lounge,Books, DVDs, music for children,Airport transportation,Baggage storage,Non-smoking hotel,24-hour front desk,Wifi,Breakfast available,Snack bar,Shared lounge / TV area,Laundry service,Air conditioning,Housekeeping,Safe,Non-smoking rooms,Family rooms",,Villa64,"MX777,MX706,MX777"
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Bicycle rental,Bicycles available,Babysitting,Children Activities (Kid / Family Friendly),Wifi,Bar / lounge,Restaurant,Special diet menus,Hiking,Horseback riding,Bicycle tours,Evening entertainment,Airport transportation,Shuttle bus service,Business Center with Internet Access,Meeting rooms,Spa,Concierge,Non-smoking hotel,Outdoor furniture,Private check-in / check-out,Laundry service,Air conditioning,Housekeeping,Room service,Minibar,Non-smoking rooms,Suites,Family rooms",,Hacienda La Danesa,
"Free parking,Free High Speed Internet (WiFi),Hot tub,Vending machine,Meeting rooms,Concierge,Non-smoking hotel,Self-serve laundry,Parking garage,Wifi,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites,Family rooms",,Apart Terrazas Guayaquil Suites & Lofts,"MX1,384,MX1,435,MX1,521,MX1,187"
"Paid private parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Airport transportation,Business Center with Internet Access,Parking,Restaurant,Breakfast available,Breakfast in the room,Kids' meals,Wine / champagne,Highchairs available,Taxi service,Conference facilities,Banquet room,Meeting rooms,24-hour security,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Allergy-free room,Blackout curtains,Air conditioning,Desk,Housekeeping,Minibar,Cable / satellite TV,Bath / shower,Room service,Safe,Seating area,Separate dining area,Telephone,Wardrobe / closet,Bottled water,Clothes rack,Iron,Laptop safe,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,Radio,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",,Wyndham Garden Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Airport transportation,Shuttle bus service,Conference facilities,Banquet room,Meeting rooms,Spa,Hammam,Massage,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Room service,Safe,Bottled water,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","See why so many travelers make Sonesta Hotel Guayaquil their hotel of choice when visiting Guayaquil. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you.,Given the close proximity of popular landmarks, such as El Castillo Chocolate Farm (2.0 mi) and El Faro de Guayaquil (2.0 mi), guests of Sonesta Hotel Guayaquil can easily experience some of Guayaquil's most well known attractions.,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and a concierge while staying at Sonesta Hotel Guayaquil. In addition, Sonesta Hotel Guayaquil offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,If you are looking for a good Asian restaurant, you may want to check out Gran Chef, Restaurante Sushi Isao, or Noe Sushi Bar while staying at Sonesta Hotel Guayaquil.,During your visit, be sure to check out Monumento a Guayas y Quil (0.7 mi), which is a popular attraction within walking distance of the hotel.,At Sonesta Hotel Guayaquil, your comfort and satisfaction come first, and they look forward to welcoming you to Guayaquil.",Sonesta Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free airport transportation,Business Center with Internet Access,Conference facilities,Paid private parking on-site,Parking garage,Wifi,Pool / beach towels,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Kids' meals,Snack bar,Special diet menus,Poolside bar,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Banquet room,Meeting rooms,Baggage storage,Concierge,Gift shop,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Room service,Minibar,Refrigerator,Flatscreen TV,Hair dryer,Safe,Iron,Non-smoking rooms,Suites",,Holiday Inn Guayaquil Airport,"MX1,278,MX1,278,MX1,279,MX1,237"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Free airport transportation,Business Center with Internet Access,Parking garage,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Airport transportation,Shuttle bus service,Conference facilities,Banquet room,Meeting rooms,Spa,Hammam,Massage,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shops,Sun terrace,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Room service,Safe,Bottled water,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","See why so many travelers make Sonesta Hotel Guayaquil their hotel of choice when visiting Guayaquil. Providing an ideal mix of value, comfort and convenience, it offers a family-friendly setting with an array of amenities designed for travelers like you.,Given the close proximity of popular landmarks, such as El Castillo Chocolate Farm (2.0 mi) and El Faro de Guayaquil (2.0 mi), guests of Sonesta Hotel Guayaquil can easily experience some of Guayaquil's most well known attractions.,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and a concierge while staying at Sonesta Hotel Guayaquil. In addition, Sonesta Hotel Guayaquil offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,If you are looking for a good Asian restaurant, you may want to check out Gran Chef, Restaurante Sushi Isao, or Noe Sushi Bar while staying at Sonesta Hotel Guayaquil.,During your visit, be sure to check out Monumento a Guayas y Quil (0.7 mi), which is a popular attraction within walking distance of the hotel.,At Sonesta Hotel Guayaquil, your comfort and satisfaction come first, and they look forward to welcoming you to Guayaquil.",Sonesta Hotel Guayaquil,
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Baggage storage,Parking garage,Wifi,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Bottled water,Non-smoking rooms,Suites,Family rooms",,Hotel Palace Guayaquil,"MX1,306,MX2,015,MX1,144,MX1,842"
"Paid private parking nearby,Free High Speed Internet (WiFi),Outdoor pool,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Baggage storage,Non-smoking hotel,Street parking,Wifi,Outdoor furniture,Shared lounge / TV area,24-hour front desk,Air conditioning,Safe,Non-smoking rooms,Family rooms",,DreamKapture Hostel,"MX506,MX506,MX405,MX506,MX404"
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","If you’re looking for a family-friendly hotel in Guayaquil, look no further than Sheraton Guayaquil Hotel.,For those interested in checking out popular landmarks while visiting Guayaquil, Sheraton Guayaquil is located a short distance from El Castillo Chocolate Farm (1.9 mi) and El Faro de Guayaquil (2.0 mi).,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and newspaper while staying at Guayaquil Four Points. In addition, Guayaquil Sheraton offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,While in Guayaquil be sure to experience nearby diners such as Ville Crepes, Rock Sport Café, or Pollos De Boncho.,Guayaquil is also home to Museo en Miniatura Guayaquil en la Historia, a popular military museum that is not too far from Four Points Guayaquil.,The staff at Sheraton Guayaquil Hotel looks forward to serving you during your upcoming visit.",Sheraton Guayaquil Hotel,"MX1,631,MX1,631,MX1,632,MX1,595"
"Free public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Game room,Table tennis,Indoor play area for children,Airport transportation,Street parking,Wifi,Breakfast available,Board games / puzzles,Shuttle bus service,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shared kitchen,24-hour front desk,Laundry service,Air conditioning,Housekeeping,Non-smoking rooms",,Nazu City Hostel,
"Free public parking nearby,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Game room,Table tennis,Indoor play area for children,Airport transportation,Street parking,Wifi,Breakfast available,Board games / puzzles,Shuttle bus service,Baggage storage,Concierge,Newspaper,Non-smoking hotel,Shared kitchen,24-hour front desk,Laundry service,Air conditioning,Housekeeping,Non-smoking rooms",,Nazu City Hostel,
"Paid private parking nearby,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Solarium,Secured parking,Wifi,Hot tub,Indoor pool,Sauna,Restaurant,Breakfast buffet,Vending machine,Banquet room,Meeting rooms,Baggage storage,Concierge,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Ramada,"MX1,447,MX952,MX1,447,MX866"
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Airport transportation,Spa,Baggage storage,Chapel / shrine,Secured parking,Wifi,Outdoor pool,Pool / beach towels,Breakfast in the room,Special diet menus,Wine / champagne,Shuttle bus service,Car hire,Concierge,Currency exchange,Newspaper,Non-smoking hotel,Outdoor furniture,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Desk,Housekeeping,Room service,Safe,Bottled water,Iron,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Hotel Boutique Orilla del Rio,"MX2,339,MX2,339"
"Paid private parking nearby,Free High Speed Internet (WiFi),Free breakfast,Bicycle rental,Hiking,Baggage storage,Gift shop,24-hour front desk,Parking,Wifi,Bar / lounge,Coffee shop,Restaurant,Wine / champagne,Evening entertainment,Newspaper,Non-smoking hotel,Shops,Laundry service,Air conditioning,Non-smoking rooms,Family rooms",,Manso Boutique Guesthouse,
